episode_index,frames,adv_frac,adv_mean,adv_p75,adv_p90,adv_max,short_horizon_frac,length,source_dataset,source_episode_index,length_rank_pct,adv_frac_rank_pct,adv_p90_rank_pct,quality_score
47,5946,0.3868146653212243,0.0009191183583550964,0.01906575484490683,0.042151573904948725,0.2498673161949687,0.008409014463504878,5946,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,17,0.20707070707070707,0.21717171717171718,0.8787878787878788,0.551010101010101
73,7074,0.4980209216850438,0.0003807737227502287,0.014062058040099634,0.03114529759545851,0.12174275875945617,0.007068136839129205,7074,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,17,0.3434343434343434,0.5707070707070707,0.3181818181818182,0.5502525252525252
142,7499,0.4233897853047073,0.0003539781416345122,0.01652635992427398,0.04473241181035567,0.2281264549579196,0.006667555674089879,7499,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,29,0.3888888888888889,0.3282828282828283,0.9393939393939394,0.5494949494949495
128,6477,0.4315269414852555,0.0007509577699195311,0.016574140497642054,0.0365215382065349,0.14054473848004867,0.0077196232823838196,6477,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,14,0.2727272727272727,0.35353535353535354,0.6717171717171717,0.5479797979797979
165,5594,0.4175902752949589,0.0012328925822072732,0.016510629885988726,0.033984446233394104,0.14416931183000137,0.00893814801573114,5594,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,24,0.1414141414141414,0.3181818181818182,0.51010101010101,0.5457070707070707
138,4760,0.3558823529411765,0.0018563817270650846,0.015349642233150496,0.03925641984601556,0.13589574010034133,0.01050420168067227,4760,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,25,0.06060606060606061,0.12626262626262627,0.7929292929292929,0.5441919191919192
16,10591,0.6229817769804551,-0.0004529104757731514,0.01254117847343017,0.032907482096152796,0.247409213193851,0.004720989519403267,10591,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,10,0.7474747474747475,0.8282828282828283,0.41414141414141414,0.543939393939394
121,10676,0.5317534657174972,-0.0006413566428407785,0.0192280857350402,0.04399433345456649,0.4062880220546262,0.004683402023229674,10676,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,6,0.7575757575757576,0.6111111111111112,0.9191919191919192,0.5436868686868688
14,12652,0.5664717040784065,-0.0008735220676187131,0.017414333158331408,0.04512170315642881,0.2562106511082225,0.003951944356623459,12652,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,8,0.8838383838383839,0.696969696969697,0.9444444444444444,0.5431818181818182
103,8734,0.5488893977558965,-8.703397553023914e-05,0.01313014500697185,0.03410693840046453,0.23312230021615554,0.00572475383558507,8734,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,17,0.5808080808080808,0.6464646464646465,0.5252525252525253,0.5426767676767678
